,Title,Type,Director,Actors,Release,Genre,Runtime,Language,Country,Rating,IMDb,RottenTomatoes,Metacritic,Platform
0,Dick Johnson Is Dead,Movie,Kirsten Johnson,"['Michael Hilow', 'Ana Hoffman', 'Dick Johnson']",02 Oct 2020,"['Documentary', 'Drama']",89,English,United States,PG-13,7.4,100.0,89.0,Netflix
1,Blood & Water,TV Show,,"['Ama Qamata', 'Khosi Ngema', 'Gail Mabalane']",20 May 2020,"['Drama', 'Mystery']",2,English,South Africa,TV-MA,6.6,,,Netflix
2,Ganglands,TV Show,,"['Nabiha Akkari', 'Sami Bouajila', 'Salim Kechiouche']",24 Sep 2021,"['Action', 'Crime', 'Drama']",1,French,France,TV-MA,7.0,,,Netflix
3,Jailbirds New Orleans,TV Show,,,24 Sep 2021,"['Documentary', 'Reality TV']",1,English,United States,TV-MA,6.7,,,Netflix
4,Kota Factory,TV Show,,"['Mayur More', 'Jitendra Kumar', 'Ranjan Raj']",16 Apr 2019,"['Comedy', 'Drama']",2,Hindi,India,TV-14,9.2,,,Netflix
5,Midnight Mass,TV Show,,"['Kate Siegel', 'Zach Gilford', 'Kristin Lehman']",24 Sep 2021,"['Drama', 'Fantasy', 'Horror']",1,English,United States,TV-MA,7.7,,,Netflix
6,My Little Pony: A New Generation,Movie,"Robert Cullen, José Luis Ucha, Mark Fattibene","['Vanessa Hudgens', 'Kimiko Glenn', 'James Marsden']",24 Sep 2021,"['Animation', 'Adventure', 'Comedy']",90,English,"['United States', 'Ireland', 'Canada']",PG,6.9,90.0,,Netflix
7,Sankofa,Movie,Haile Gerima,"['Kofi Ghanaba', 'Oyafunmike Ogunlano', 'Alexandra Duah']",28 May 1993,Drama,125,"['Akan', 'English']","['United States', 'Ghana', 'Burkina Faso', 'United Kingdom', 'Germany', 'Ethiopia']",,7.0,93.0,93.0,Netflix
8,The Great British Baking Show,TV Show,,"['Paul Hollywood', 'Mary Berry', 'Mel Giedroyc']",27 Dec 2014,Reality TV,12,English,United Kingdom,TV-PG,8.6,,,Netflix
9,The Starling,Movie,Theodore Melfi,"['Melissa McCarthy', ""Chris O'Dowd"", 'Kevin Kline']",24 Sep 2021,"['Comedy', 'Drama']",102,"['English', 'Spanish']",United States,PG-13,6.3,20.0,31.0,Netflix
10,Bangkok Breaking,TV Show,,"['Sukollawat Kanarot', 'Sushar Manaying', 'Sahajak Boonthanakit']",23 Sep 2021,"['Action', 'Crime', 'Drama']",1,Thai,Thailand,TV-MA,6.0,,,Netflix
11,Je Suis Karl,Movie,Christian Schwochow,"['Luna Wedler', 'Jannis Niewöhner', 'Milan Peschel']",23 Sep 2021,"['Drama', 'Romance', 'Thriller']",126,"['German', 'French', 'English', 'Arabic', 'Czech']","['Germany', 'Czech Republic']",,5.4,0.0,,Netflix
12,Confessions of an Invisible Girl,Movie,Bruno Garotti,"['Lucca Picon', 'Marcus Bessa', 'Caio Cabral']",22 Sep 2021,"['Comedy', 'Drama']",91,Portuguese,Brazil,TV-PG,5.2,,,Netflix
13,Crime Stories: India Detectives,TV Show,,"['N. Shashi Kumar', 'V. Dhananjaya', 'Roopa K.S.']",22 Sep 2021,"['Documentary', 'Crime', 'Mystery']",1,Kannada,India,TV-MA,7.2,,,Netflix
14,Dear White People,Movie,Justin Simien,"['Tyler James Williams', 'Tessa Thompson', 'Kyle Gallner']",04 Dec 2014,"['Comedy', 'Drama', 'Romance']",108,English,United States,R,6.1,91.0,79.0,Netflix
15,Falsa identidad,Movie,Marta Foncilla,"['Patricia Montero', 'Vanesa López Agrelo', 'Alonso Ramos']",,"['Documentary', 'Short']",11,Spanish,Spain,,,,,Netflix
16,Intrusion,Movie,Adam Salky,"['Freida Pinto', 'Logan Marshall-Green', 'Robert John Burke']",22 Sep 2021,"['Drama', 'Thriller']",92,English,United States,TV-14,5.3,23.0,39.0,Netflix
17,Jaguar,TV Show,,"['Blanca Suárez', 'Iván Marcos', 'Óscar Casas']",22 Sep 2021,"['Action', 'Drama', 'History']",1,Spanish,Spain,TV-14,5.8,,,Netflix
18,Monsters Inside: The 24 Faces of Billy Milligan,TV Show,,"['Kathy Preston', 'Bob Ruth', 'Sheila Porter']",22 Sep 2021,"['Documentary', 'Crime']",1,English,United States,,6.2,,,Netflix
19,Resurrection: Ertugrul,TV Show,,"['Engin Altan Düzyatan', 'Serdar Gökhan', 'Hülya Darcan', 'Kaan Taşaner', 'Esra Bilgiç', 'Osman Soykut', 'Serdar Deniz', 'Cengiz Coşkun', 'Reshad Strik', 'Hande Subaşı']",2018,"['International TV Shows', 'TV Action & Adventure', 'TV Dramas']",5,,Turkey,TV-14,,,,Netflix
20,Avvai Shanmughi,Movie,K.S. Ravikumar,"['Kamal Hassan', 'Meena', 'Gemini Ganesan', 'Heera Rajgopal', 'Nassar', 'S.P. Balasubrahmanyam']",1996,"['Comedy', 'International Movies']",161,,,TV-PG,,,,Netflix
21,Go! Go! Cory Carson: Chrissy Takes the Wheel,Movie,,"['Maisie Benson', 'Alan C. Lim', 'Kerry Gudjohnsen']",21 Sep 2021,"['Animation', 'Family']",60,English,United States,,,,,Netflix
22,Jeans,Movie,S. Shankar,"['Prashanth', 'Aishwarya Rai Bachchan', 'Nassar']",24 Apr 1998,"['Comedy', 'Drama', 'Romance']",175,Tamil,India,Not Rated,6.5,,,Netflix
23,Love on the Spectrum,TV Show,,"['Brooke Satchwell', 'Michael Theo', 'Mark Radburn']",22 Jul 2020,"['Documentary', 'Reality TV', 'Romance']",2,English,Australia,TV-14,8.6,,,Netflix
24,Minsara Kanavu,Movie,Rajiv Menon,"['Arvind Swamy', 'Kajol', 'Prabhu Deva', 'Nassar', 'S.P. Balasubrahmanyam', 'Girish Karnad']",1997,"['Comedy', 'International Movies', 'Music & Musicals']",147,,,TV-PG,,,,Netflix
25,Grown Ups,Movie,Dennis Dugan,"['Adam Sandler', 'Salma Hayek', 'Kevin James']",25 Jun 2010,Comedy,102,"['English', 'Spanish']",United States,PG-13,6.0,11.0,30.0,Netflix
26,Dark Skies,Movie,Scott Stewart,"['Keri Russell', 'Jake Brennan', 'Josh Hamilton']",22 Feb 2013,"['Horror', 'Sci-Fi', 'Thriller']",97,English,United States,PG-13,6.3,41.0,50.0,Netflix
27,Paranoia,Movie,Robert Luketic,"['Liam Hemsworth', 'Gary Oldman', 'Harrison Ford']",16 Aug 2013,"['Drama', 'Thriller']",106,English,"['United States', 'India', 'France']",PG-13,5.7,7.0,32.0,Netflix
28,Ankahi Kahaniya,Movie,"Abhishek Chaubey, Saket Chaudhary, Ashwiny Iyer Tiwari","['Abhishek Banerjee', 'T.J. Bhanu', 'Nikhil Dwivedi']",17 Sep 2021,"['Drama', 'Romance']",110,Hindi,India,TV-14,5.6,50.0,,Netflix
29,Chicago Party Aunt,TV Show,,"['Lauren Ash', ""Rory O'Malley"", 'RuPaul']",17 Sep 2021,"['Animation', 'Comedy']",1,English,United States,TV-MA,5.3,,,Netflix
30,Sex Education,TV Show,,"['Asa Butterfield', 'Gillian Anderson', 'Emma Mackey']",11 Jan 2019,"['Comedy', 'Drama']",3,English,United Kingdom,TV-MA,8.3,,,Netflix
31,Squid Game,TV Show,,"['Lee Jung-jae', 'Park Hae-soo', 'Wi Ha-Joon']",17 Sep 2021,"['Action', 'Drama', 'Mystery']",1,"['Korean', 'English', 'Urdu']",South Korea,TV-MA,8.0,,,Netflix
32,The Father Who Moves Mountains,Movie,Daniel Sandu,"['Adrian Titieni', 'Elena Purea', 'Judith State']",23 Jul 2021,"['Drama', 'Thriller']",108,Romanian,"['Romania', 'Sweden']",TV-MA,5.5,80.0,,Netflix
33,The Stronghold,Movie,Cédric Jimenez,"['Gilles Lellouche', 'Karim Leklou', 'François Civil']",18 Aug 2021,"['Action', 'Crime', 'Thriller']",105,French,France,TV-MA,6.9,50.0,,Netflix
34,Birth of the Dragon,Movie,George Nolfi,"['Billy Magnussen', 'Yu Xia', 'Philip Ng']",25 Aug 2017,"['Action', 'Biography', 'Drama']",95,"['English', 'Mandarin']","['China', 'Canada', 'United States']",PG-13,5.6,23.0,35.0,Netflix
35,Chhota Bheem,TV Show,,"['Mausam', 'Rajesh Kava', 'Kaustav Ghosh']",31 Dec 2008,"['Animation', 'Action', 'Adventure']",10,"['Hindi', 'English', 'Tamil', 'Telugu']",India,,4.4,,,Netflix
36,He-Man and the Masters of the Universe,TV Show,,"['John Erwin', 'Alan Oppenheimer', 'Linda Gary']",26 Sep 1983,"['Animation', 'Action', 'Adventure']",2,English,United States,TV-Y7,7.5,,,Netflix
37,Jaws,Movie,Steven Spielberg,"['Roy Scheider', 'Robert Shaw', 'Richard Dreyfuss']",20 Jun 1975,"['Adventure', 'Thriller']",124,English,United States,PG,8.0,98.0,87.0,Netflix
38,Jaws 2,Movie,Jeannot Szwarc,"['Roy Scheider', 'Lorraine Gary', 'Murray Hamilton']",16 Jun 1978,"['Adventure', 'Horror', 'Thriller']",116,English,United States,PG,5.8,61.0,51.0,Netflix
39,Jaws 3-D,Movie,Joe Alves,"['Dennis Quaid', 'Bess Armstrong', 'Simon MacCorkindale']",22 Jul 1983,"['Adventure', 'Horror', 'Thriller']",99,English,United States,PG,3.7,11.0,27.0,Netflix
40,Jaws: The Revenge,Movie,Joseph Sargent,"['Lorraine Gary', 'Lance Guest', 'Mario Van Peebles']",17 Jul 1987,"['Adventure', 'Horror', 'Thriller']",89,English,United States,PG-13,3.0,0.0,15.0,Netflix
41,My Heroes Were Cowboys,Movie,Tyler Greco,"['Kate Wiltshire', 'Patrick Wiltshire', 'Robin Wiltshire']",16 Sep 2021,"['Documentary', 'Short']",22,English,United States,PG,6.8,,,Netflix
42,Safe House,Movie,Daniel Espinosa,"['Denzel Washington', 'Ryan Reynolds', 'Robert Patrick']",10 Feb 2012,"['Action', 'Thriller']",115,"['English', 'Afrikaans']","['South Africa', 'United States', 'Japan']",R,6.7,53.0,52.0,Netflix
43,The Smart Money Woman,TV Show,,"['Osas Ighodaro', 'Ini Dima Okojie', 'Toni Tones']",30 Nov 2020,Drama,,English,Nigeria,,7.6,,,Netflix
44,Training Day,Movie,Antoine Fuqua,"['Denzel Washington', 'Ethan Hawke', 'Scott Glenn']",05 Oct 2001,"['Crime', 'Drama', 'Thriller']",122,"['English', 'Russian', 'Spanish', 'Korean', 'Greek']",United States,R,7.7,73.0,69.0,Netflix
45,Castle and Castle,TV Show,,"['Richard Mofe-Damijo', 'Dakore Akande', 'Bimbo Manuel', 'Blossom Chukwujekwu', 'Deyemi Okanlawon', 'Etim Effiong', 'Denola Grey', 'Duke Akintola', 'Eku Edewor', 'Ade Laoye', 'Anee Icha', 'Kevin Ushi', 'Jude Chukwuka', 'Amanda Afolabi']",2021,"['International TV Shows', 'TV Dramas']",2,,Nigeria,TV-MA,,,,Netflix
46,Dharmakshetra,TV Show,,"['Bajrangbali Singh', 'Ankit Arora', 'Gaurav Ghatnekar']",19 Nov 2014,Drama,1,Hindi,India,,8.2,,,Netflix
